encoding_first,encoding_second,encoding_third,encoding_fourth,probe_first,probe_second,probe_third,probe_fourth,ans
1,2,8,8,1,2,8,8,1
2,3,8,8,2,3,8,8,1
3,4,8,8,3,4,8,8,1
4,5,8,8,4,5,8,8,1
5,6,8,8,5,6,8,8,1
6,7,8,8,6,7,8,8,1
7,1,8,8,7,1,8,8,1
1,3,8,8,1,3,8,8,1
2,4,8,8,2,4,8,8,1
3,5,8,8,3,5,8,8,1
4,6,8,8,4,6,8,8,1
5,7,8,8,5,7,8,8,1
6,1,8,8,6,1,8,8,1
7,2,8,8,7,2,8,8,1
1,4,8,8,1,4,8,8,1
2,5,8,8,2,5,8,8,1
3,6,8,8,3,6,8,8,1
4,7,8,8,4,7,8,8,1
5,1,8,8,5,1,8,8,1
6,2,8,8,6,2,8,8,1
7,3,8,8,7,4,8,8,0
1,5,8,8,1,6,8,8,0
2,6,8,8,2,7,8,8,0
3,7,8,8,3,2,8,8,0
4,1,8,8,4,7,8,8,0
5,2,8,8,5,4,8,8,0
6,3,8,8,6,1,8,8,0
7,4,8,8,7,3,8,8,0
1,6,8,8,1,2,8,8,0
2,7,8,8,2,3,8,8,0
3,1,8,8,3,5,8,8,0
4,2,8,8,4,6,8,8,0
5,3,8,8,5,1,8,8,0
6,4,8,8,6,5,8,8,0
7,5,8,8,7,3,8,8,0
1,7,8,8,1,5,8,8,0
2,1,8,8,2,7,8,8,0
3,2,8,8,3,1,8,8,0
4,3,8,8,4,2,8,8,0
5,4,8,8,5,6,8,8,0
